timestamp,victim_id,peek_count,tokens_extracted,correct_tokens,accuracy,extracted_tokens,match_status,total_execution_time,peek_one_token_times,attack_request_times,reconstructed_preview,victim_prompt_preview,known_prefix_preview
2025-12-18 00:35:57,TEST,6,6,0,0.0000,"["" even"", "" hard"", ""-to"", ""-ob"", ""rowse"", "" deleted""]",NO_MATCH,277.16,"[""49.57"", ""44.43"", ""47.26"", ""46.15"", ""45.20"", ""44.54""]","[""41.22"", ""40.40"", ""43.19"", ""42.08"", ""41.16"", ""40.53""]",Imagine you are an experienced Ethereum developer tasked with creating a smart contract for a blockc,Imagine you are an experienced Ethereum developer tasked with creating a smart contract for a blockc,Imagine you are an experienced Ethereum developer tasked with creating a smart contract for a blockc
2025-12-18 00:40:33,TEST,6,6,0,0.0000,"["" What"", "" other"", "" information"", "" should"", "" be"", "" included""]",NO_MATCH,267.71,"[""43.80"", ""46.08"", ""44.08"", ""43.97"", ""44.39"", ""45.38""]","[""39.23"", ""42.01"", ""39.89"", ""39.91"", ""40.33"", ""41.40""]",I want you to act as a linux terminal. I will type commands and you will reply with what the termina,I want you to act as a linux terminal. I will type commands and you will reply with what the termina,I want you to act as a linux terminal. I will type commands and you will reply with what the termina
2025-12-18 00:45:09,TEST,6,6,0,0.0000,"["" copy"", "" with"", "" up"", ""-temp"", ""o"", "" ""]",NO_MATCH,267.28,"[""44.43"", ""43.76"", ""44.54"", ""44.49"", ""45.02"", ""45.04""]","[""39.82"", ""39.68"", ""40.49"", ""40.41"", ""40.87"", ""40.82""]","I want you to act as an English translator, spelling corrector and improver. I will speak to you in ","I want you to act as an English translator, spelling corrector and improver. I will speak to you in ","I want you to act as an English translator, spelling corrector and improver. I will speak to you in "
2025-12-18 00:49:54,TEST,6,6,0,0.0000,"["" When"", "" we"", "" pass"", "" the"", "" page"", "",""]",NO_MATCH,276.55,"[""45.79"", ""46.30"", ""47.47"", ""45.10"", ""46.90"", ""44.98""]","[""41.17"", ""42.25"", ""43.41"", ""41.08"", ""42.85"", ""40.96""]",I want you to act as an interviewer. I will be the candidate and you will ask me the interview quest,I want you to act as an interviewer. I will be the candidate and you will ask me the interview quest,I want you to act as an interviewer. I will be the candidate and you will ask me the interview quest
2025-12-18 00:54:37,TEST,6,6,0,0.0000,"["" A"", "" code"", "" block"", "" goes"", "" like"", "" on""]",NO_MATCH,273.87,"[""44.61"", ""45.28"", ""44.97"", ""45.75"", ""46.64"", ""46.63""]","[""40.28"", ""41.25"", ""40.96"", ""41.74"", ""42.60"", ""42.60""]",I want you to act as a javascript console. I will type commands and you will reply with what the jav,I want you to act as a javascript console. I will type commands and you will reply with what the jav,I want you to act as a javascript console. I will type commands and you will reply with what the jav
2025-12-18 00:59:20,TEST,6,6,0,0.0000,"["" key"", "" into"", "" just"", "" "", ""10"", "" tables""]",NO_MATCH,274.68,"[""47.79"", ""46.20"", ""45.19"", ""44.86"", ""45.33"", ""45.31""]","[""43.29"", ""42.13"", ""41.14"", ""40.75"", ""41.23"", ""41.22""]",I want you to act as a text based excel. you'll only reply me the text-based 10 rows excel sheet wit,I want you to act as a text based excel. you'll only reply me the text-based 10 rows excel sheet wit,I want you to act as a text based excel. you'll only reply me the text-based 10 rows excel sheet wit
2025-12-18 01:04:01,TEST,6,6,0,0.0000,"["" contain"", "" gramm"", ""arr"", ""il"", "" and"", "" should""]",NO_MATCH,272.74,"[""45.76"", ""44.63"", ""45.26"", ""45.57"", ""44.94"", ""46.57""]","[""41.15"", ""40.56"", ""41.21"", ""41.53"", ""40.87"", ""42.54""]",I want you to act as an English pronunciation assistant for ${Mother Language:Turkish} speaking peop,I want you to act as an English pronunciation assistant for ${Mother Language:Turkish} speaking peop,I want you to act as an English pronunciation assistant for ${Mother Language:Turkish} speaking peop
2025-12-18 07:54:05,TEST,6,6,0,0.0000,"["" find"", "" "", ""120"", "" max"", "" is"", "" ideal""]",NO_MATCH,24594.73,"[""49.34"", ""5619.54"", ""5790.50"", ""6275.94"", ""6374.84"", ""484.57""]","[""44.79"", ""5615.52"", ""5650.58"", ""6271.93"", ""5411.64"", ""480.42""]",I want you to act as a spoken English teacher and improver. I will speak to you in English and you w,I want you to act as a spoken English teacher and improver. I will speak to you in English and you w,I want you to act as a spoken English teacher and improver. I will speak to you in English and you w
2025-12-18 08:16:50,TEST,3,3,0,0.0000,"["" ephem"", ""...\n"", ""Bitcoin""]",NO_MATCH,133.47,"[""45.45"", ""42.44"", ""45.57""]","[""38.32"", ""38.45"", ""41.60""]",Imagine you are an experienced Ethereum developer tasked with creating a smart contract for a blockc,Imagine you are an experienced Ethereum developer tasked with creating a smart contract for a blockc,Imagine you are an experienced Ethereum developer tasked with creating a smart contract for a blockc
2025-12-18 08:19:05,TEST,3,3,0,0.0000,"["" No"", "" reading"", "" explanations""]",NO_MATCH,126.40,"[""41.48"", ""42.35"", ""42.56""]","[""37.19"", ""38.26"", ""38.34""]",I want you to act as a linux terminal. I will type commands and you will reply with what the termina,I want you to act as a linux terminal. I will type commands and you will reply with what the termina,I want you to act as a linux terminal. I will type commands and you will reply with what the termina
2025-12-18 08:21:24,TEST,3,3,2,0.6667,"["" words"", "" "", ""301""]",NO_MATCH,129.47,"[""44.26"", ""44.15"", ""41.06""]","[""39.75"", ""40.05"", ""36.98""]","I want you to act as an English translator, spelling corrector and improver. I will speak to you in ","I want you to act as an English translator, spelling corrector and improver. I will speak to you in ","I want you to act as an English translator, spelling corrector and improver. I will speak to you in "
2025-12-18 08:23:50,TEST,3,3,0,0.0000,"["" Repeat"", "" yourself"", "" and""]",NO_MATCH,137.40,"[""47.30"", ""44.46"", ""45.64""]","[""42.70"", ""40.40"", ""41.63""]",I want you to act as an interviewer. I will be the candidate and you will ask me the interview quest,I want you to act as an interviewer. I will be the candidate and you will ask me the interview quest,I want you to act as an interviewer. I will be the candidate and you will ask me the interview quest
